rank,vol_party_name,vol,vol_chg,long_party_name,long_open_interest,long_open_interest_chg,short_party_name,short_open_interest,short_open_interest_chg,symbol,variety,date
1,中信期货,17468,6390,中信期货,13292,2550,国泰君安期货,14565,-932,LC2609,LC,20260205
2,国泰君安期货,9429,3793,中信建投,7737,-315,银河期货,13546,-398,LC2609,LC,20260205
3,东证期货,7706,3875,华泰期货,6656,-803,中信期货,13196,-788,LC2609,LC,20260205
4,华泰期货,5849,3659,申银万国,4716,-532,五矿期货,7565,85,LC2609,LC,20260205
5,广发期货,5193,1590,光大期货,4357,2679,华泰期货,6095,-392,LC2609,LC,20260205
1,中信期货,21897,4429,中信期货,13277,-15,国泰君安期货,14877,312,LC2609,LC,20260206
2,国泰君安期货,10001,572,中信建投,8376,639,银河期货,13626,80,LC2609,LC,20260206
3,东证期货,9114,1408,华泰期货,6808,152,中信期货,13136,-60,LC2609,LC,20260206
4,银河期货,7650,3231,光大期货,5150,793,五矿期货,7577,12,LC2609,LC,20260206
5,广发期货,6549,1356,申银万国,5147,431,华泰期货,6639,544,LC2609,LC,20260206
1,中信期货,12450,-9447,中信期货,12702,-575,银河期货,13784,158,LC2609,LC,20260209
2,国泰君安期货,10063,62,中信建投,9015,639,中信期货,13601,465,LC2609,LC,20260209
3,广发期货,4672,-1877,华泰期货,7246,438,国泰君安期货,10458,-4419,LC2609,LC,20260209
4,东证期货,4336,-4778,申银万国,5124,-23,五矿期货,7575,-2,LC2609,LC,20260209
5,中泰期货,3068,-1225,光大期货,5042,-108,华泰期货,7053,414,LC2609,LC,20260209
1,中信期货,7440,-5010,中信期货,12748,46,银河期货,13659,-125,LC2609,LC,20260210
2,东证期货,3497,-839,中信建投,9423,408,中信期货,13571,-30,LC2609,LC,20260210
3,国泰君安期货,3143,-6920,华泰期货,7739,493,国泰君安期货,10438,-20,LC2609,LC,20260210
4,广发期货,2641,-2031,申银万国,5143,19,华泰期货,7789,736,LC2609,LC,20260210
5,华泰期货,2227,841,光大期货,5018,-24,五矿期货,7570,-5,LC2609,LC,20260210
1,中信期货,9253,1813,中信期货,12580,-168,银河期货,13743,84,LC2609,LC,20260211
2,国泰君安期货,4376,1233,中信建投,9814,391,中信期货,12982,-589,LC2609,LC,20260211
